scientific_name,common_name
Artemisia absinthium,Wormwood
Arbutus unedo,strawberry tree
Erodium malacoides,Soft Stork's-bill
Cuscuta arvensis,
Urtica membranacea,Mediterranean Nettle
Laurus nobilis,Bay laurel
Artemisia absinthium,Wormwood
Eruca vesicaria,rocketsalad
Brassicaceae,mustard family
Clematis cirrhosa,Early Virgin's-bower
Prunus amygdalus,Almond
Datura innoxia,downy thorn-apple
Anagyris foetida,Bean Trefoil
Veronica cymbalaria,Pale Speedwell
Senecio vulgaris,common groundsel
Geraniaceae,Geranium family
Rubus ulmifolius,elmleaf blackberry
Polygonum aviculare,Prostrate Knotweed
Fumaria,Fumitories
Sarcopoterium spinosum,Spiny Burnet
Cirsium creticum,
Umbilicus horizontalis,Narrow Navelwort
Glebionis coronaria,Garland Daisy
Erodium moschatum,musk stork's-bill
Lavandula pedunculata cariensis,
Cistus creticus,Hoary Rock-rose
Lamium amplexicaule,henbit deadnettle
Taraxacum,dandelions
Mandragora autumnalis,autumn mandrake
Spartium junceum,Spanish Broom
Lupinus angustifolius,Narrow-leaved Lupin
Lamium moschatum,Musk deadnettle
Pseudodictamnus acetabulosus,False Dittany
Plagiochasma,
Plantae,plants
Narcissus,daffodils
Anemone coronaria,poppy anemone
Anemone hortensis,broad-leaved anemone
Angiospermae,flowering plants
Romulea tempskyana,
Arbutus unedo,strawberry tree
Plantae,plants
Anemone coronaria,poppy anemone
Hypnum cupressiforme,Cypress-leaved Plait-moss
Hypnum cupressiforme,Cypress-leaved Plait-moss
Fumana arabica,Mediterranean Rockrose
Anagyris foetida,Bean Trefoil
Lavandula pedunculata cariensis,
Asphodelus,asphodels
Nerium oleander,oleander
Asphodelus ramosus,Branched Asphodel
Cyclamen alpinum,Alpine Cyclamen
Lamium amplexicaule,henbit deadnettle
Dryopteris filix-mas,male fern
Prasium majus,White Hedge-nettle
Vicia hybrida,Hairy Yellow-vetch
Tordylium,
Asphodelus ramosus,Branched Asphodel
Lavandula pedunculata cariensis,
Romulea tempskyana,
Calendula arvensis,field marigold
Arisarum vulgare,Friar's-cowl
Erodium moschatum,musk stork's-bill
Geranium molle,Dove's-foot crane's-bill
Lathyrus setifolius,Brown Vetch
Lysimachia arvensis,scarlet pimpernel
Veronica cymbalaria,Pale Speedwell
Erodium cicutarium,Redstem Stork's-bill
Cistus salviifolius,Sage-leaved Rock-rose
Asphodelus ramosus,Branched Asphodel
Prasium majus,White Hedge-nettle
Gagea,
Ferula,
Lantana camara,common lantana
Ophrys,Bee Orchids
Asphodelus albus,White Asphodel
Cyclamen alpinum,Alpine Cyclamen
Cyclamen alpinum,Alpine Cyclamen
Cyclamen alpinum,Alpine Cyclamen
Gagea lutea,Yellow Star-of-Bethlehem
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Lavandula stoechas,topped lavender
Anemone coronaria,poppy anemone
Oxalis pes-caprae,Bermuda buttercup
Anemone coronaria,poppy anemone
Spartium junceum,Spanish Broom
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Mandragora autumnalis,autumn mandrake
Lupinus pilosus,Blue Lupine
Bryophyta,mosses
Vicia,Vetches
Lupinus angustifolius,Narrow-leaved Lupin
Cistus creticus,Hoary Rock-rose
Leucaena,leadtrees
Acacia saligna,golden wreath wattle
Bellis perennis,common daisy
Calicotome villosa,Spiny Broom
Calicotome villosa,Spiny Broom
Anthemis chia,Chios Chamomile
Lamium amplexicaule,henbit deadnettle
Malva sylvestris,Common Mallow
Lotus edulis,edible bird's-foot-trefoil
Echium plantagineum,purple viper's-bugloss
Echium plantagineum,purple viper's-bugloss
Euphorbia helioscopia,Sun spurge
Euphorbia peplus,Petty Spurge
Galium aparine,catchweed bedstraw
Cistus salviifolius,Sage-leaved Rock-rose
Brassicaceae,mustard family
Tragopogon orientalis,Eastern Goat's-beard
Vicia hybrida,Hairy Yellow-vetch
Asphodelus ramosus,Branched Asphodel
Anthemideae,"Chamomiles, yarrows, and allies"
Cytisopsis pseudocytisus,
Scandix pecten-veneris,Shepherd's-needle
Calicotome villosa,Spiny Broom
Anthemideae,"Chamomiles, yarrows, and allies"
Cupressus sempervirens,Mediterranean cypress
Pittosporum,Cheesewoods
Anchusa undulata,Undulate Alkanet
Asphodelus albus,White Asphodel
Fuciflorae,
Dimorphotheca ecklonis,blue-and-white daisybush
Acacia,wattles
Ophrys speculum,Mirror orchid
Ophrys lutea,Yellow Bee-orchid and relatives
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Crocus,Crocuses
Esula,
Araceae,arum family
Iris unguicularis,Algerian Iris
Allium neapolitanum,Naples garlic
Valeriana italica,
Scrophularia peregrina,Nettle-leaved Figwort
Geranium purpureum,Little-Robin
Erodium malacoides,Soft Stork's-bill
Ferula tingitana,giant Tangier fennel
Scandix pecten-veneris,Shepherd's-needle
Daphne gnidioides,
Ferula communis,Giant Fennel
Crepis fraasii,
Sarcopoterium spinosum,Spiny Burnet
Knautia integrifolia,Urville´s Widowflower
Juniperus phoenicea,
Lysimachia arvensis,scarlet pimpernel
Magnoliopsida,dicots
Tragopogon orientalis,Eastern Goat's-beard
Agave americana,American century plant
Plantae,plants
Cymbalaria muralis,Ivy-leaved toadflax
Geranium purpureum,Little-Robin
Atriplex portulacoides,Sea-purslane
Mandragora autumnalis,autumn mandrake
Euphorbia helioscopia,Sun spurge
Pistacia lentiscus,mastic
Lotus edulis,edible bird's-foot-trefoil
Vicia sativa,Common Vetch
Taraxacum,dandelions
Asphodelus ramosus,Branched Asphodel
Quercus aucheri,Boz-Pirnal Oak
Lamiaceae,mint family
Anthemis cretica,Mountain Dog-daisy
Gagea peduncularis,
Tordylium apulum,Mediterranean Hartwort
Moraea sisyrinchium,Barbary-nut
Asphodelus,asphodels
Gazania rigens,uniform treasureflower
Glebionis coronaria,Garland Daisy
Kalanchoe daigremontiana,Alligator Plant
Sisyrinchium bellum,western blue-eyed grass
Sinapis arvensis,Wild Mustard
Verbascum sinuatum,wavyleaf mullein
Erodium,stork's-bills
Matricaria chamomilla,German Chamomile
Tamarix,Tamarisks
Echinops spinosissimus,
Calendula arvensis,field marigold
Acacia saligna,golden wreath wattle
Trifolium clypeatum,Shield Clover
Vicia hybrida,Hairy Yellow-vetch
Oxalis,woodsorrels
Erodium moschatum,musk stork's-bill
Oxalis pes-caprae,Bermuda buttercup
Vicia hybrida,Hairy Yellow-vetch
Medicago polymorpha,bur clover
Fumaria judaica,Judean Fumitory
Stellaria media,common chickweed
Sonchus tenerrimus,slender sowthistle
Ornithogalum umbellatum,common star-of-Bethlehem
Trifolieae,
Cynoglossum,Hound's-tongues
Fumaria,Fumitories
Laurus nobilis,Bay laurel
Trifolium clypeatum,Shield Clover
Smyrnium olusatrum,Alexanders
Bryophyta,mosses
Acacia saligna,golden wreath wattle
Scandix pecten-veneris,Shepherd's-needle
Prunus amygdalus,Almond
Lupinus pilosus,Blue Lupine
Ferula communis,Giant Fennel
Lupinus angustifolius,Narrow-leaved Lupin
Calicotome villosa,Spiny Broom
Malva multiflora,Cretan Tree-mallow
Cerinthe major,Greater honeywort
Glebionis coronaria,Garland Daisy
Kalanchoe daigremontiana,Alligator Plant
Erodium moschatum,musk stork's-bill
Asphodelus,asphodels
Sonchus asper,prickly sowthistle
Asphodelus ramosus,Branched Asphodel
Asphodelus ramosus,Branched Asphodel
Geranium rotundifolium,Round-leaved Crane's-bill
Cistus salviifolius,Sage-leaved Rock-rose
Pistacia lentiscus,mastic
Anemoneae,anemones and allies
Arbutus andrachne,Greek strawberry-tree
Acacia,wattles
Gazania linearis,striped treasureflower
Cistus salviifolius,Sage-leaved Rock-rose
Moraea sisyrinchium,Barbary-nut
Anacamptis papilionacea,Pink-butterfly Orchid
Anemone coronaria,poppy anemone
Ophrys fusca bilunulata,Marble Bee-Orchid
Misopates orontium,Weasel's-snout
Oxalis pes-caprae,Bermuda buttercup
Moraea sisyrinchium,Barbary-nut
Onosma frutescens,
Stachys byzantina,woolly hedgenettle
Rosaceae,rose family
Asphodelus ramosus,Branched Asphodel
Bellis perennis,common daisy
Asphodelus ramosus,Branched Asphodel
Lamium amplexicaule,henbit deadnettle
Prunus,"plums, cherries, and allies"
Selaginella denticulata,Mediterranean clubmoss
Brassicaceae,mustard family
Gagea lutea,Yellow Star-of-Bethlehem
Veronica lycica,
Bryophyta,mosses
Cirsium,thistles
Sarcopoterium spinosum,Spiny Burnet
Galium,bedstraws
Umbilicus rupestris,Wall Pennywort
Quercus coccifera,Kermes oak
Genista,Brooms
Scrophularia,figworts
Magnoliopsida,dicots
Urtica membranacea,Mediterranean Nettle
Brassicaceae,mustard family
Anthemideae,"Chamomiles, yarrows, and allies"
Brassicaceae,mustard family
Phlomis lycia,
Ornithogalum umbellatum,common star-of-Bethlehem
Acacia saligna,golden wreath wattle
Solanum nigrum,black nightshade
Asphodelus ramosus,Branched Asphodel
Iris unguicularis,Algerian Iris
Pinus brutia,Turkish pine
Acacia saligna,golden wreath wattle
Veronica persica,bird's-eye speedwell
Smyrnium olusatrum,Alexanders
Bromus diandrus,great brome
Sonchus oleraceus,Common Sow-thistle
Vinca major,greater periwinkle
Erodium moschatum,musk stork's-bill
Opuntia ficus-indica,Indian fig opuntia
Eriobotrya japonica,Loquat
Ononis,restharrows
Lamium album,White deadnettle
Prunus persica,Peach
Malva sylvestris,Common Mallow
Euphorbia helioscopia,Sun spurge
Jasminum mesnyi,Primrose jasmine
Mercurialis annua,Annual mercury
Senecio vulgaris,common groundsel
Olea europaea,Olive
Ornithogalum umbellatum,common star-of-Bethlehem
Ajuga orientalis,Oriental Bugle
Lamium amplexicaule,henbit deadnettle
Iris unguicularis,Algerian Iris
Erodium cicutarium,Redstem Stork's-bill
Moraea sisyrinchium,Barbary-nut
Anemonoides blanda,Greek Anemone
Leontodon hispidus,Rough Hawkbit
Lavandula stoechas,topped lavender
Moraea sisyrinchium,Barbary-nut
Vicia hybrida,Hairy Yellow-vetch
Silene vulgaris,bladder campion
Lupinus angustifolius,Narrow-leaved Lupin
Trifolium grandiflorum,Large-flower Hop Clover
Lysimachia foemina,Foemina Pimpernel
Senecio vernalis,Eastern Groundsel
Phragmites australis,common reed
Acacia saligna,golden wreath wattle
Vicia hybrida,Hairy Yellow-vetch
Salvia fruticosa,Greek Sage
Helichrysum stoechas,Shrubby Everlasting
Cistus salviifolius,Sage-leaved Rock-rose
Mentheae,
Petrosedum sediforme,Pale Stonecrop
Helichrysum,Everlasting-flowers
Pistacia lentiscus,mastic
Leontodon hispidus,Rough Hawkbit
Ruta graveolens,Rue
Biscutella,
Cynoglossum creticum,blue hound's-tongue
Plectritis congesta,shortspur seablush
Bromus diandrus,great brome
Origanum vulgare,Oregano
Jasminum mesnyi,Primrose jasmine
Tordylium apulum,Mediterranean Hartwort
Oxalis pes-caprae,Bermuda buttercup
Salvia rosmarinus,Rosemary
Smyrnium olusatrum,Alexanders
Calendula arvensis,field marigold
Cupressus sempervirens,Mediterranean cypress
Silybum marianum,milk thistle
Papaver rhoeas,common poppy
Cyclamen persicum,Persian Cyclamen
Anemone coronaria,poppy anemone
Fritillaria forbesii,
Ficaria verna,lesser celandine
Geranium lucidum,Shining Crane's-bill
Ruscus aculeatus,butcher's-broom
Galium aparine,catchweed bedstraw
Sonchus asper,prickly sowthistle
Lamium moschatum,Musk deadnettle
Anchusa undulata,Undulate Alkanet
Scandix pecten-veneris,Shepherd's-needle
Cyclamen alpinum,Alpine Cyclamen
Ajuga orientalis,Oriental Bugle
Biscutella laevigata,Common Buckler-mustard
Securigera varia,purple crownvetch
Hippocrepis comosa,horseshoe vetch
Bougainvillea glabra,lesser bougainvillea
Ophrys argolica lucis,
Lupinus pilosus,Blue Lupine
Freesia,Freesias
Araucaria,araucarias
Allium neapolitanum,Naples garlic
Erodium botrys,Mediterranean Stork's-bill
Urtica membranacea,Mediterranean Nettle
Esula,
Pinus brutia,Turkish pine
Bituminaria bituminosa,arabian pea
Lupinus angustifolius,Narrow-leaved Lupin
Lupinus pilosus,Blue Lupine
Malva sylvestris,Common Mallow
Calendula arvensis,field marigold
Euphorbia helioscopia,Sun spurge
Trifolium vesiculosum,arrowleaf clover
Asphodelus ramosus,Branched Asphodel
Vicia villosa,hairy vetch
Raphanus raphanistrum,Jointed Charlock
Iresine diffusa herbstii,Bloodleaf
Sinapis arvensis,Wild Mustard
Oxalis pes-caprae pleniflora,Doubled Goatfoot Sorrel
Laurus nobilis,Bay laurel
Galium mollugo,Hedge Bedstraw
Geranium lucidum,Shining Crane's-bill
Calicotome villosa,Spiny Broom
Erodium moschatum,musk stork's-bill
Matricaria chamomilla,German Chamomile
Tordylium apulum,Mediterranean Hartwort
Oxalis pes-caprae,Bermuda buttercup
Valeriana tuberosa,Tuberous Valerian
Ficaria verna,lesser celandine
Ajuga orientalis,Oriental Bugle
Erica arborea,Tree heath
Allium neapolitanum,Naples garlic
Gladiolus italicus,Field Gladiolus
Helichrysum,Everlasting-flowers
Ophrys fusca blitopertha,Cockchafer Orchid
Vicia,Vetches
Salvia verbenaca,wild clary
Lamium amplexicaule,henbit deadnettle
Scrophularia nodosa,Common Figwort
Echium plantagineum,purple viper's-bugloss
Malva,Mallows
Olea europaea,Olive
Glebionis coronaria,Garland Daisy
Eriobotrya japonica,Loquat
Phelipanche nana,Dwarf Sorrel Broomrape
Erodium,stork's-bills
Malva,Mallows
Poa,Meadow-grasses
Oxalis pes-caprae,Bermuda buttercup
Cistus salviifolius,Sage-leaved Rock-rose
Lamium amplexicaule,henbit deadnettle
Dianthus barbatus,Sweet-William
Polygala myrtifolia,Sweet Pea Shrub
Vinca major,greater periwinkle
Papaver rhoeas,common poppy
Phlomis fruticosa,Jerusalem Sage
Lysimachia arvensis,scarlet pimpernel
Anemone,anemones and thimbleweeds
Prunus,"plums, cherries, and allies"
Leopoldia,
Malva,Mallows
Acacia,wattles
Biscutella didyma,Mediterranean Buckler-mustard
Stachys,Hedgenettles
Geranium lucidum,Shining Crane's-bill
Pyrus spinosa,Almond-leaved pear
Moraea sisyrinchium,Barbary-nut
Melissa officinalis,lemon balm
Anthyllis circinnata,Disc Trefoil
Origanum onites,Pot Marjoram
Myrsiniteae,
Glaucium flavum,Yellow Horned Poppy
Fumaria judaica,Judean Fumitory
Calendula arvensis,field marigold
Onopordum bracteatum,Branched Cotton Thistle
Sinapis alba,White Mustard
Scrophularia lucida,Pale Figwort
Papaver,poppies
Malva,Mallows
Esula,
Iris unguicularis carica,Carian iris
Asphodelus,asphodels
Anemone,anemones and thimbleweeds
Esula,
Cistus creticus,Hoary Rock-rose
Thalictroideae,Columbines and Meadow-Rues
Ruscus aculeatus,butcher's-broom
Cistus creticus,Hoary Rock-rose
Glebionis coronaria,Garland Daisy
Calendula,marigolds
Tordylium,
Iris unguicularis,Algerian Iris
Vicia,Vetches
Papaver rhoeas,common poppy
Calendula,marigolds
Sonchus asper,prickly sowthistle
Ferula communis,Giant Fennel
Lathyrus setifolius,Brown Vetch
Malvaviscus,
Opuntia,Prickly Pears
Vicia hybrida,Hairy Yellow-vetch
Valeriana officinalis,common valerian
Asplenium ceterach,Rustyback
Orobanche crenata,Bean Broomrape
Magnoliopsida,dicots
Angiospermae,flowering plants
Lamiaceae,mint family
Glebionis coronaria,Garland Daisy
Tragopogon porrifolius,purple salsify
Opuntia ficus-indica,Indian fig opuntia
Cistus creticus,Hoary Rock-rose
Scorzonera,Viper's-grasses
Papaver rhoeas,common poppy
Prospero,
Tordylium,
Tragopogon,Salsifies
Cerinthe major,Greater honeywort
Moraea,Cape Tulips
Anemone,anemones and thimbleweeds
Anemone,anemones and thimbleweeds
Dracunculus vulgaris,dragon arum
Magnoliopsida,dicots
Hirschfeldia incana,Shortpod Mustard
Urtica urens,Dwarf Nettle
Lolium perenne,Perennial Ryegrass
Silene behen,Hairless Catchfly
Erodium malacoides,Soft Stork's-bill
Vicia hybrida,Hairy Yellow-vetch
Hordeum murinum,wall barley
Lamium moschatum,Musk deadnettle
Phagnalon graecum,Eastern Phagnalon
Erodium moschatum,musk stork's-bill
Lysimachia arvensis,scarlet pimpernel
Glebionis coronaria,Garland Daisy
Oxalis pes-caprae,Bermuda buttercup
Echium plantagineum,purple viper's-bugloss
Urospermum picroides,False Hawkbit
Tragopogon porrifolius longirostris,Long-beaked purple salsify
Tragopogon orientalis,Eastern Goat's-beard
Lathyrus setifolius,Brown Vetch
Lupinus angustifolius,Narrow-leaved Lupin
Plantago afra,Glandular Plantain
Calendula arvensis,field marigold
Fumana arabica,Mediterranean Rockrose
Cistus salviifolius,Sage-leaved Rock-rose
Allium neapolitanum,Naples garlic
Pistacia lentiscus,mastic
Prasium majus,White Hedge-nettle
Arum,arum lilies
Acacia saligna,golden wreath wattle
Carpobrotus acinaciformis,Sally-my-handsome
Phlomis fruticosa,Jerusalem Sage
Ophrys,Bee Orchids
Ornithogalum,star-of-Bethlehem
Bougainvillea glabra,lesser bougainvillea
Angiospermae,flowering plants
Gladiolus italicus,Field Gladiolus
Ferula communis,Giant Fennel
Acacia,wattles
Magnoliopsida,dicots
Laurus nobilis,Bay laurel
Salvia officinalis,garden sage
Lysimachia arvensis,scarlet pimpernel
Phelipanche nana,Dwarf Sorrel Broomrape
Anthriscus caucalis,Bur Parsley
Faboideae,
Echium plantagineum,purple viper's-bugloss
Fabeae,"Peas, Vetches, and Allies"
Anthriscus caucalis,Bur Parsley
Euphorbia helioscopia,Sun spurge
Rumex obtusifolius,broad-leaved dock
Phelipanche nana,Dwarf Sorrel Broomrape
Urospermum picroides,False Hawkbit
Stachydeae,
Papaver rhoeas,common poppy
Antirrhinum majus,Snapdragon
Oenothera speciosa,Pinkladies
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Cistus salviifolius,Sage-leaved Rock-rose
Cistus creticus,Hoary Rock-rose
Acacia saligna,golden wreath wattle
Styrax officinalis,Snowdrop Bush
Papaver rhoeas,common poppy
Papaver rhoeas,common poppy
Papaver,poppies
Papaver,poppies
Papaver,poppies
Legousia pentagonia,
Cistus creticus,Hoary Rock-rose
Spartium junceum,Spanish Broom
Tragopogon porrifolius,purple salsify
Glebionis coronaria,Garland Daisy
Geranium molle,Dove's-foot crane's-bill
Asphodelus ramosus,Branched Asphodel
Knautia integrifolia,Urville´s Widowflower
Allium neapolitanum,Naples garlic
Ferula communis,Giant Fennel
Geranium rotundifolium,Round-leaved Crane's-bill
Hypochaeris glabra,Smooth Cat's Ear
Silene italica,Italian Catchfly
Tragopogon porrifolius,purple salsify
Acacia saligna,golden wreath wattle
Fritillaria acmopetala,Pointed-petal Fritillary
Oxalis pes-caprae pleniflora,Doubled Goatfoot Sorrel
Valeriana italica,
Cistus salviifolius,Sage-leaved Rock-rose
Cistus creticus,Hoary Rock-rose
Morus alba,white mulberry
Bellevalia trifoliata,
Acacia saligna,golden wreath wattle
Lysimachia arvensis,scarlet pimpernel
Lysimachia arvensis,scarlet pimpernel
Papaver rhoeas,common poppy
Serapias vomeracea,long-lipped serapias
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Asplenium ceterach,Rustyback
Scrophularia lucida,Pale Figwort
Onosma frutescens,
Pistacia lentiscus,mastic
Phlomis,Jerusalem Sage
Marchantiophyta,liverworts
Leopoldia comosa,Tassel Hyacinth
Lavandula stoechas,topped lavender
Sedum,stonecrops
Onosma frutescens,
Orchis anatolica,Anatolian Orchid
Orchis anatolica,Anatolian Orchid
Orchis anatolica,Anatolian Orchid
Orchis anatolica,Anatolian Orchid
Glebionis coronaria,Garland Daisy
Anthemis cotula,Stinking chamomile
Trigonella corniculata,Sickle-fruited Fenugreek
Trifolium,clovers
Ferula communis,Giant Fennel
Lysimachia arvensis,scarlet pimpernel
Silene italica,Italian Catchfly
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Papaver rhoeas,common poppy
Papaver rhoeas,common poppy
Papaver rhoeas,common poppy
Trifolium stellatum,Star Clover
Pinus brutia,Turkish pine
Medicago arabica,Spotted medick
Euphorbia characias,Mediterranean spurge
Scrophularia lucida,Pale Figwort
Scrophularia lucida,Pale Figwort
Ophrys sicula,Lesser Yellow Bee Orchid
Euphorbia helioscopia,Sun spurge
Angiospermae,flowering plants
Hirschfeldia incana,Shortpod Mustard
Trifolium angustifolium,Narrow-leaved clover
Pallenis spinosa,Spiny Starwort
Ferula communis,Giant Fennel
Lupinus angustifolius,Narrow-leaved Lupin
Arbutus andrachne,Greek strawberry-tree
Scilla forbesii,Forbes' Glory-of-the-snow
Scilla forbesii,Forbes' Glory-of-the-snow
Cedrus libani,Lebanon cedar
Cedrus libani,Lebanon cedar
Cedrus libani,Lebanon cedar
Liliopsida,monocots
Cyclamen alpinum,Alpine Cyclamen
Anemonoides blanda,Greek Anemone
Anemonoides blanda,Greek Anemone
Anemonoides blanda,Greek Anemone
Ornithogalum umbellatum,common star-of-Bethlehem
Anthemis,Chamomiles
Glebionis coronaria,Garland Daisy
Lupinus angustifolius,Narrow-leaved Lupin
Knautia integrifolia,Urville´s Widowflower
Geranium molle,Dove's-foot crane's-bill
Tragopogon porrifolius,purple salsify
Tragopogon orientalis,Eastern Goat's-beard
Sarcopoterium spinosum,Spiny Burnet
Trifolium hirtum,Rose Clover
Echium plantagineum,purple viper's-bugloss
Serapias cordigera,Heart-flowered serapias
Orchis anatolica,Anatolian Orchid
Orchis anatolica,Anatolian Orchid
Orchis anatolica,Anatolian Orchid
Lavandula stoechas,topped lavender
Euphorbia peplus,Petty Spurge
Fritillaria sibthorpiana,
Quercus,oaks
Iberis carnosa,
Cyclamen persicum,Persian Cyclamen
Cyclamen persicum,Persian Cyclamen
Echium plantagineum,purple viper's-bugloss
Allium neapolitanum,Naples garlic
Iris unguicularis,Algerian Iris
Anemonoides blanda,Greek Anemone
Paeonia mascula mascula,
Angiospermae,flowering plants
Tragopogon porrifolius,purple salsify
Umbilicus rupestris,Wall Pennywort
Orchis italica,Naked-man Orchid
Orchis anatolica,Anatolian Orchid
Arbutus andrachne,Greek strawberry-tree
Ruscus aculeatus,butcher's-broom
Quercus coccifera,Kermes oak
Orchis anatolica,Anatolian Orchid
Smilax excelsa,Larger Smilax
Rosularia serrata,Saw-leaved Liveforever
Orchis anatolica,Anatolian Orchid
Orchis anatolica,Anatolian Orchid
Bellevalia trifoliata,
Anemone coronaria,poppy anemone
Euphorbia characias,Mediterranean spurge
Olea europaea,Olive
Orchis italica,Naked-man Orchid
Serapias vomeracea,long-lipped serapias
Lavandula,Lavender
Knautia,
Gnaphalieae,paper daisies
Ophrys fuciflora candica,
Tecomaria capensis,Cape Honeysuckle
Glebionis coronaria,Garland Daisy
Triticum aestivum,Bread Wheat
Cistus salviifolius,Sage-leaved Rock-rose
Phelipanche nana,Dwarf Sorrel Broomrape
Medicago orbicularis,button medick
Trifolium hirtum,Rose Clover
Onobrychis caput-galli,Cockscomb Sainfoin
Trifolium globosum,Roundhead Clover
Vicia monantha,Mediterranean Vetch
Pisum,Peas
Iris unguicularis,Algerian Iris
Iris unguicularis,Algerian Iris
Iris unguicularis,Algerian Iris
Daphne sericea,
Limodorum abortivum,Violet Bird's-nest
Limodorum abortivum,Violet Bird's-nest
Myosotis,Forget-me-nots
Muscari macrocarpum,Yellow Grape-hyacinth
Muscari macrocarpum,Yellow Grape-hyacinth
Muscari macrocarpum,Yellow Grape-hyacinth
Leopoldia comosa,Tassel Hyacinth
Cytinus hypocistis,Yellow Cytinus
Cistus creticus,Hoary Rock-rose
Ferula communis,Giant Fennel
Glebionis coronaria,Garland Daisy
Onosma,
Brassiceae,
Apiaceae,carrot family
Malva sylvestris,Common Mallow
Ophrys sicula,Lesser Yellow Bee Orchid
Ophrys sicula,Lesser Yellow Bee Orchid
Ophrys sicula,Lesser Yellow Bee Orchid
Orchis anatolica,Anatolian Orchid
Papaver rhoeas,common poppy
Anacamptis morio,green-winged orchid
Orchidaceae,orchids
Cyclamen alpinum,Alpine Cyclamen
Carpobrotus,sea figs
Lavandula,Lavender
Euphorbia dendroides,tree spurge
Fritillaria enginiana,
Neotinea maculata,Dense-flowered Orchid
Neotinea maculata,Dense-flowered Orchid
Ficus carica,common fig
Ophrys fuciflora,Late spider-orchid and allies
Serapias vomeracea,long-lipped serapias
Ruscus aculeatus,butcher's-broom
Briza maxima,Greater Quaking Grass
Campanula,bellflowers
Agrostemma,Corncockles
Iris pseudacorus,Yellow Iris
Malva multiflora,Cretan Tree-mallow
Bambusoideae,"bamboos, canes, and allies"
Fumaria capreolata,white ramping-fumitory
Ficus elastica,rubber plant
Anacamptis sancta,Holy Orchid
Anacamptis sancta,Holy Orchid
Medicago orbicularis,button medick
Glebionis coronaria,Garland Daisy
Hirschfeldia incana,Shortpod Mustard
Orobanche pubescens,Hairy Broomrape
Ophrys fuciflora candica,
Anacamptis sancta,Holy Orchid
Anacamptis sancta,Holy Orchid
Ophrys fuciflora candica,
Ophrys fuciflora candica,
Ophrys calypsus,
Fuciflorae,
Fuciflorae,
Gazania rigens,uniform treasureflower
Serapias vomeracea,long-lipped serapias
Knautia integrifolia,Urville´s Widowflower
Anacamptis coriophora,Bug Orchid
Serapias bergonii,
Anacamptis coriophora fragrans,
Poaceae,grasses
Serapias vomeracea,long-lipped serapias
Serapias vomeracea,long-lipped serapias
Cichorioideae,"chicories, dandelions, and allies"
Echium,Viper's-buglosses
Dipsacoideae,Scabious subfamily
Leopoldia,
Asparagaceae,agave and allies
Kalanchoe daigremontiana,Alligator Plant
Silene italica,Italian Catchfly
Tragopogon porrifolius,purple salsify
Glebionis coronaria,Garland Daisy
Vicia cracca,tufted vetch
Vicia bithynica,bithynian vetch
Juniperus phoenicea,
Ferula communis,Giant Fennel
Prasium majus,White Hedge-nettle
Sarcopoterium spinosum,Spiny Burnet
Tragopogon orientalis,Eastern Goat's-beard
Trifolium hirtum,Rose Clover
Polygonum aviculare,Prostrate Knotweed
Tragopogon porrifolius,purple salsify
Erodium malacoides,Soft Stork's-bill
Papaver rhoeas,common poppy
Sonchus asper,prickly sowthistle
Daucus carota,wild carrot
Pinus brutia,Turkish pine
Papaver rhoeas,common poppy
Euryops pectinatus,grey-leaved euryops
Gladiolus italicus,Field Gladiolus
Mentheae,
Opuntia,Prickly Pears
Pallenis spinosa,Spiny Starwort
Cistus creticus,Hoary Rock-rose
Pinus,pines
Echinops sphaerocephalus,Glandular Globe-thistle
Centaurea,knapweeds
Nerium oleander,oleander
Eriobotrya japonica,Loquat
Angiospermae,flowering plants
Magnoliopsida,dicots
Ficus carica,common fig
Plantae,plants
Nerium oleander,oleander
Passiflora caerulea,Bluecrown passionflower
Ricinus communis,castor bean
Fabaceae,legumes
Papaveroideae,
Angiospermae,flowering plants
Plantae,plants
Lantana,
Jacaranda,jacarandas
Brugmansia,angel's trumpets
Plantae,plants
Angiospermae,flowering plants
Plantae,plants
Cichorieae,
Angiospermae,flowering plants
Centaurium erythraea,Common centaury
Magnoliopsida,dicots
Cistus salviifolius,Sage-leaved Rock-rose
Pistacia atlantica,Mount Atlas mastic tree
Medicago orbicularis,button medick
Celtis australis,Nettle tree
Cichorium intybus,chicory
Vicia,Vetches
Cedrus libani,Lebanon cedar
Ferula,
Carduoideae,Thistles and Allies
Ceratonia siliqua,carob tree
Magnoliopsida,dicots
Platanus orientalis,Oriental Plane
Angiospermae,flowering plants
Tracheophyta,vascular plants
Angiospermae,flowering plants
Pinales,conifers
Caryophylleae,
Myrtus communis,myrtle
Aroideae,
Spartium junceum,Spanish Broom
Euphorbia,spurges
Magnoliopsida,dicots
Nerium oleander,oleander
Asteroideae,
Magnoliopsida,dicots
Hydrangea macrophylla,mophead hydrangea
Allium,
Anacamptis pyramidalis,pyramidal orchid
